date,stockpile_m2,stockpile_ha,stockpile_fraction
2023-04-27,483100.0,48.3100,0.1887
2023-05-10,429600.0,42.9600,0.1678
2023-05-15,446800.0,44.6800,0.1745
2023-05-17,505700.0,50.5700,0.1975
2023-05-25,469800.0,46.9800,0.1835
2023-06-04,457000.0,45.7000,0.1785
2023-06-06,585400.0,58.5400,0.2287
2023-06-11,516800.0,51.6800,0.2019
2023-06-21,509200.0,50.9200,0.1989
2023-06-24,476300.0,47.6300,0.1861
2023-06-26,586300.0,58.6300,0.2290
2023-06-29,490600.0,49.0600,0.1916
2023-07-01,544200.0,54.4200,0.2126
2023-07-04,457100.0,45.7100,0.1786
2023-07-06,608800.0,60.8800,0.2378
2023-07-09,501100.0,50.1100,0.1957
2023-07-14,470800.0,47.0800,0.1839
2023-07-16,572300.0,57.2300,0.2236
2023-07-19,498900.0,49.8900,0.1949
2023-07-21,544500.0,54.4500,0.2127
2023-07-26,550200.0,55.0200,0.2149
2023-07-29,571100.0,57.1100,0.2231
2023-07-31,513000.0,51.3000,0.2004
2023-08-03,442800.0,44.2800,0.1730
2023-08-08,449000.0,44.9000,0.1754
2023-08-15,619700.0,61.9700,0.2421
2023-08-18,455700.0,45.5700,0.1780
2023-08-25,729100.0,72.9100,0.2848
2023-09-02,407700.0,40.7700,0.1593
2023-09-09,416200.0,41.6200,0.1626
2025-04-14,385900.0,38.5900,0.1507
2025-04-16,455500.0,45.5500,0.1779
2025-04-23,417000.0,41.7000,0.1629
2025-05-01,438700.0,43.8700,0.1714
2025-05-21,454000.0,45.4000,0.1773
2025-05-24,439700.0,43.9700,0.1718
2025-06-02,498400.0,49.8400,0.1947
2025-06-03,476000.0,47.6000,0.1859
2025-06-08,469100.0,46.9100,0.1832
2025-06-15,565800.0,56.5800,0.2210
2025-06-30,514700.0,51.4700,0.2011
2025-07-03,459300.0,45.9300,0.1794
2025-07-05,541900.0,54.1900,0.2117
2025-07-08,493500.0,49.3500,0.1928
2025-07-12,514700.0,51.4700,0.2011
2025-07-13,472400.0,47.2400,0.1845
2025-07-15,563600.0,56.3600,0.2202
2025-07-23,473400.0,47.3400,0.1849
2025-07-25,540100.0,54.0100,0.2110
2025-07-28,462300.0,46.2300,0.1806
2025-08-01,493700.0,49.3700,0.1929
2025-08-12,457500.0,45.7500,0.1787
2025-08-21,449300.0,44.9300,0.1755
2025-08-22,438500.0,43.8500,0.1713
2025-09-13,453500.0,45.3500,0.1771
2025-09-16,378900.0,37.8900,0.1480
2025-09-23,436500.0,43.6500,0.1705
2025-09-26,379400.0,37.9400,0.1482
2025-09-28,411200.0,41.1200,0.1606
2025-10-06,343900.0,34.3900,0.1343
2025-10-13,293000.0,29.3000,0.1145
2025-11-30,279700.0,27.9700,0.1093
2026-01-16,209100.0,20.9100,0.0817
2026-01-19,244700.0,24.4700,0.0956
2026-01-24,239900.0,23.9900,0.0937
2026-03-27,372700.0,37.2700,0.1456
